ITEM #,QTY,SUPPLIER,PART NUMBER,DESCRIPTION,PRICE,UNIT,ADDITIONAL DESCRIPTION 
19900,5,BROTHER MOBILE SOLUTIONS INC,TZE231,1/2 BLACK/WHITE TAPE,$11.16 ,1,
20000,5,BROTHER MOBILE SOLUTIONS INC,TZE251,1 BLACK/WHITE TAPE,$15.85 ,1,
20100,10,BROTHER MOBILE SOLUTIONS INC,TZE261,1.5BLACK/WHITE,$18.93 ,1,
20200,12,CHATSWORTH PRODUCTS INCORPORATED,11301-701,BUTT SPLICE 1.5 STRG BKZ,$8.50 ,1,
20300,4,CHATSWORTH PRODUCTS INCORPORATED,10506-716,CABINET ELEVATION BLACK,$73.01 ,1,
20400,12,CHATSWORTH PRODUCTS INCORPORATED,40164-001,STRAP GRD KT CABLE RUNWAY,$26.86 ,1,
20500,6,CHATSWORTH PRODUCTS INCORPORATED,11302-001,JUNCTION KIT FOR RUNWAY,$8.87 ,1,
20600,8,CHATSWORTH PRODUCTS INCORPORATED,11302-001,JUNCTION KIT FOR RUNWAY,$8.87 ,1,
20700,55,CHATSWORTH PRODUCTS INCORPORATED,11268-001,AUX CABLE BRKT 1 1/2 IN,$11.40 ,1,
20800,8,CHATSWORTH PRODUCTS INCORPORATED,10642-001,CABLE RACK END CAPS PAIR,$6.64 ,1,
20900,55,CHATSWORTH PRODUCTS INCORPORATED,11408-003,BRCKT SUPT 5/8 ROD 1-1/2,$5.60 ,1,
21000,16,CHATSWORTH PRODUCTS INCORPORATED,10250-112,12IN CABLE RWAY TUBE GRY,$82.98 ,1,
21100,12,CHATSWORTH PRODUCTS INCORPORATED,11421-112,WALL ANGLE KIT 12IN GRAY,$21.79 ,1,
21200,0,,NO BID,,$0.00 ,0,
21300,0,,NO BID,,$0.00 ,0,
21400,0,,NO BID,,$0.00 ,0,
21500,0,,NO BID,,$0.00 ,0,
21600,0,,NO BID,,$0.00 ,0,
21700,0,,NO BID,,$0.00 ,0,
21800,0,,NO BID,,$0.00 ,0,
21900,6,COOPER B-LINE SYSTEMS,SBHB119K,HORZ RACK GROUND BAR KIT,$82.89 ,1,
22000,4,COOPER B-LINE SYSTEMS,SBTMGB12,TELCOM MAIN GROUNDING BAR,$155.19 ,1,
22100,1,CORNING OPTICAL COMMUNICATIONS,95-050-41,SC UNICAM 50-MICRON,$12.93 ,1,
22200,1,CORNING OPTICAL COMMUNICATIONS,95-050-41,SC UNICAM 50-MICRON,$12.93 ,1,
22300,2000,CORNING OPTICAL COMMUNICATIONS,M-5-RN-2-CZ-LE-AQ-CCS-CUT REEL,002T51-31180-24,$377.62 ,1000,
22400,0,,NO BID,,$0.00 ,0,
22500,0,,NO BID,,$0.00 ,0,
22600,0,,NO BID,,$0.00 ,0,
22700,0,,NO BID,,$0.00 ,0,
22800,0,,NO BID,,$0.00 ,0,
22900,0,,NO BID,,$0.00 ,0,
23000,0,,NO BID,,$0.00 ,0,
23100,3,HOLOCOM NETWORKS,SEC-WM-885-H1,HIGH SECURITY ENCLOSURE 16G (7IN X 6IN X,$146.51 ,1,
23200,4,HOLOCOM NETWORKS,SEC-WM-UDB2-H1,HIGH SEC ENCL 16G 7X6X4 NO HOLE,$151.16 ,1,
23300,1,MCMASTER-CARR SUPPLY COMPANY,97068A110,,$3.32 ,1,
23400,1,MCMASTER-CARR SUPPLY COMPANY,97068A140,,$7.63 ,1,
23500,20,MCMASTER-CARR SUPPLY COMPANY,97083A350,,$13.06 ,1,
23600,9,MCMASTER-CARR SUPPLY COMPANY,97083A310,,$12.73 ,1,
23700,4,MCMASTER-CARR SUPPLY COMPANY,97065A120,,$7.62 ,1,
23800,1,MCMASTER-CARR SUPPLY COMPANY,97068A140,,$7.63 ,1,
23900,9,MCMASTER-CARR SUPPLY COMPANY,11715T72,,$11.75 ,1,
24000,14,MCMASTER-CARR SUPPLY COMPANY,7513K216,,$2.11 ,1,
24100,40,MCMASTER-CARR SUPPLY COMPANY,8874T43,,$1.99 ,1,
24200,1,MCMASTER-CARR SUPPLY COMPANY,9429T39,,$17.15 ,1,
24300,25,MCMASTER-CARR SUPPLY COMPANY,3115T83,,$1.68 ,1,
24400,6,MCMASTER-CARR SUPPLY COMPANY,9439T15,,$2.71 ,1,
24500,4,MCMASTER-CARR SUPPLY COMPANY,7154K73,,$11.55 ,1,
24600,6,MCMASTER-CARR SUPPLY COMPANY,9128K53,,$16.48 ,1,
24700,8,MCMASTER-CARR SUPPLY COMPANY,71695K67,,$5.74 ,1,
24800,20,MCMASTER-CARR SUPPLY COMPANY,71695K27,,$0.89 ,1,
24900,6,MCMASTER-CARR SUPPLY COMPANY,1758K15,,$14.70 ,1,
25000,6,MCMASTER-CARR SUPPLY COMPANY,5124K19,,$67.20 ,1,
25100,14,MCMASTER-CARR SUPPLY COMPANY,7126K3,,$22.21 ,1,
25200,8,MCMASTER-CARR SUPPLY COMPANY,7126K6,,$52.69 ,1,
25300,4,MCMASTER-CARR SUPPLY COMPANY,7126K7,,$83.83 ,1,
25400,24,MCMASTER-CARR SUPPLY COMPANY,7126K2,,$13.12 ,1,
25500,26,MCMASTER-CARR SUPPLY COMPANY,7150K314,,$37.55 ,1,
25600,32,MCMASTER-CARR SUPPLY COMPANY,7150K13,,$4.83 ,1,
25700,14,MCMASTER-CARR SUPPLY COMPANY,1841T26,,$24.73 ,1,
25800,4,MCMASTER-CARR SUPPLY COMPANY,7150K56,,$32.37 ,1,
25900,12,MCMASTER-CARR SUPPLY COMPANY,7150K214,,$43.64 ,1,
26000,12,MCMASTER-CARR SUPPLY COMPANY,7150K39,,$6.77 ,1,
26100,30,MCMASTER-CARR SUPPLY COMPANY,7267K28,,$2.48 ,1,
26200,14,MCMASTER-CARR SUPPLY COMPANY,8096K66,,$2.61 ,1,
26300,4,MCMASTER-CARR SUPPLY COMPANY,8096K67,,$4.68 ,1,
26400,320,MCMASTER-CARR SUPPLY COMPANY,74115K4,,$0.90 ,1,
26500,1,MCMASTER-CARR SUPPLY COMPANY,90480A006,,$2.10 ,1,
26600,1,MCMASTER-CARR SUPPLY COMPANY,91845A029,,$5.13 ,1,
26700,2,MCMASTER-CARR SUPPLY COMPANY,90473A031,,$7.54 ,1,
26800,4,MCMASTER-CARR SUPPLY COMPANY,94895A035,,$10.75 ,1,
26900,6,MCMASTER-CARR SUPPLY COMPANY,3259T12,,$8.26 ,1,
27000,8,MCMASTER-CARR SUPPLY COMPANY,71695K41,,$2.60 ,1,
27100,9,MCMASTER-CARR SUPPLY COMPANY,9340K23,,$31.40 ,1,
27200,8,MCMASTER-CARR SUPPLY COMPANY,7174K18,,$30.76 ,1,
27300,40,MCMASTER-CARR SUPPLY COMPANY,90322A340,,$64.17 ,1,
27400,25,MCMASTER-CARR SUPPLY COMPANY,98950A031,,$10.31 ,1,
27500,1,MCMASTER-CARR SUPPLY COMPANY,91772A126,,$7.57 ,1,
27600,2,MCMASTER-CARR SUPPLY COMPANY,92470A316,,$16.08 ,1,
